Broadcast_Year,Broadcast_Quarter,Service_Type,Market,Total_Quarterly_Hours
2023,1,Broadcaster Video on Demand,Ontario,28660367
2023,1,Broadcaster Video on Demand,Quebec,28356033
2023,1,Free Ad-Supported TV,Ontario,3469050
2023,1,Free Ad-Supported TV,Quebec,6144167
2023,1,Linear TV,Ontario,3385701433
2023,1,Linear TV,Quebec,2516755567
2023,1,Social Media,Ontario,1205257317
2023,1,Social Media,Quebec,387549183
2023,1,Subscription Video on Demand & Other,Quebec,263412783
2023,1,Subscription Video on Demand & Other,Ontario,776783267
2023,2,Broadcaster Video on Demand,Quebec,23977700
2023,2,Broadcaster Video on Demand,Ontario,23818517
2023,2,Free Ad-Supported TV,Ontario,8941900
2023,2,Free Ad-Supported TV,Quebec,4230283
2023,2,Linear TV,Quebec,2628015583
2023,2,Linear TV,Ontario,3484512867
2023,2,Social Media,Ontario,1242350517
2023,2,Social Media,Quebec,397018533
2023,2,Subscription Video on Demand & Other,Ontario,796301850
2023,2,Subscription Video on Demand & Other,Quebec,266881733
2023,3,Broadcaster Video on Demand,Quebec,22901167
2023,3,Broadcaster Video on Demand,Ontario,25219850
2023,3,Free Ad-Supported TV,Ontario,8666600
2023,3,Free Ad-Supported TV,Quebec,1486117
2023,3,Linear TV,Ontario,3353135917
2023,3,Linear TV,Quebec,2443656600
2023,3,Social Media,Quebec,344930817
2023,3,Social Media,Ontario,1266348433
2023,3,Subscription Video on Demand & Other,Ontario,584982717
2023,3,Subscription Video on Demand & Other,Quebec,236498200
2023,4,Broadcaster Video on Demand,Quebec,15074983
2023,4,Broadcaster Video on Demand,Ontario,15979700
2023,4,Free Ad-Supported TV,Ontario,11378417
2023,4,Free Ad-Supported TV,Quebec,3896767
2023,4,Linear TV,Ontario,2866933817
2023,4,Linear TV,Quebec,2124024717
2023,4,Social Media,Quebec,392903633
2023,4,Social Media,Ontario,1318241733
2023,4,Subscription Video on Demand & Other,Quebec,256966983
2023,4,Subscription Video on Demand & Other,Ontario,635228417
2024,1,Broadcaster Video on Demand,Ontario,18607250
2024,1,Broadcaster Video on Demand,Quebec,25175400
2024,1,Free Ad-Supported TV,Quebec,6450767
2024,1,Free Ad-Supported TV,Ontario,15385250
2024,1,Linear TV,Quebec,2470832917
2024,1,Linear TV,Ontario,2929947167
2024,1,Social Media,Quebec,488553917
2024,1,Social Media,Ontario,1298743383
2024,1,Subscription Video on Demand & Other,Ontario,677615267
2024,1,Subscription Video on Demand & Other,Quebec,252607517
2024,2,Broadcaster Video on Demand,Quebec,27764367
2024,2,Broadcaster Video on Demand,Ontario,21001667
2024,2,Free Ad-Supported TV,Quebec,4416567
2024,2,Free Ad-Supported TV,Ontario,14856200
2024,2,Linear TV,Ontario,2983447667
2024,2,Linear TV,Quebec,2619545283
2024,2,Social Media,Ontario,1230881500
2024,2,Social Media,Quebec,430129317
2024,2,Subscription Video on Demand & Other,Ontario,690215167
2024,2,Subscription Video on Demand & Other,Quebec,252729367
2024,3,Broadcaster Video on Demand,Quebec,26027800
2024,3,Broadcaster Video on Demand,Ontario,27950533
2024,3,Free Ad-Supported TV,Ontario,11882017
2024,3,Free Ad-Supported TV,Quebec,3987817
2024,3,Linear TV,Ontario,2887274200
2024,3,Linear TV,Quebec,2439137917
2024,3,Social Media,Quebec,459206867
2024,3,Social Media,Ontario,1218285300
2024,3,Subscription Video on Demand & Other,Ontario,652745400
2024,3,Subscription Video on Demand & Other,Quebec,232996500
2024,4,Broadcaster Video on Demand,Ontario,30223833
2024,4,Broadcaster Video on Demand,Quebec,18784733
2024,4,Free Ad-Supported TV,Ontario,11848867
2024,4,Free Ad-Supported TV,Quebec,1861300
2024,4,Linear TV,Quebec,2105656150
2024,4,Linear TV,Ontario,2697682367
2024,4,Social Media,Ontario,1129968533
2024,4,Social Media,Quebec,473573817
2024,4,Subscription Video on Demand & Other,Ontario,586423467
2024,4,Subscription Video on Demand & Other,Quebec,242514900
2025,1,Broadcaster Video on Demand,Quebec,25519250
2025,1,Broadcaster Video on Demand,Ontario,24002583
2025,1,Free Ad-Supported TV,Ontario,16267667
2025,1,Free Ad-Supported TV,Quebec,3275417
2025,1,Linear TV,Quebec,2279321917
2025,1,Linear TV,Ontario,2795886350
2025,1,Social Media,Ontario,1379274467
2025,1,Social Media,Quebec,507824333
2025,1,Subscription Video on Demand & Other,Quebec,219253283
2025,1,Subscription Video on Demand & Other,Ontario,655270667
2025,2,Broadcaster Video on Demand,Ontario,27015733
2025,2,Broadcaster Video on Demand,Quebec,27329400
2025,2,Free Ad-Supported TV,Quebec,4688667
2025,2,Free Ad-Supported TV,Ontario,26349117
2025,2,Linear TV,Quebec,2415337983
2025,2,Linear TV,Ontario,2892652917
2025,2,Social Media,Quebec,522612433
2025,2,Social Media,Ontario,1218141733
2025,2,Subscription Video on Demand & Other,Quebec,222103267
2025,2,Subscription Video on Demand & Other,Ontario,678249467
2025,3,Broadcaster Video on Demand,Quebec,28580767
2025,3,Broadcaster Video on Demand,Ontario,35828983
2025,3,Free Ad-Supported TV,Quebec,4722100
2025,3,Free Ad-Supported TV,Ontario,34932667
2025,3,Linear TV,Quebec,2269004417
2025,3,Linear TV,Ontario,2797392783
2025,3,Social Media,Ontario,971237333
2025,3,Social Media,Quebec,422271967
2025,3,Subscription Video on Demand & Other,Quebec,199274183
2025,3,Subscription Video on Demand & Other,Ontario,577296117
