Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2019,1,Calgary,CBC/SRC,French,304615
2019,1,Calgary,CBC/SRC,English,14898952
2019,1,Calgary,Non-Commercial,French,
2019,1,Calgary,Non-Commercial,English,16241
2019,1,Calgary,Private Commercial,French,4343
2019,1,Calgary,Private Commercial,English,117646366
2019,1,Edmonton,CBC/SRC,French,2190131
2019,1,Edmonton,CBC/SRC,English,13750164
2019,1,Edmonton,Non-Commercial,French,
2019,1,Edmonton,Non-Commercial,English,
2019,1,Edmonton,Private Commercial,French,618
2019,1,Edmonton,Private Commercial,English,119604481
2019,1,Montreal,CBC/SRC,English,16500541
2019,1,Montreal,CBC/SRC,French,53052587
2019,1,Montreal,Non-Commercial,French,
2019,1,Montreal,Non-Commercial,English,7075
2019,1,Montreal,Private Commercial,English,143763142
2019,1,Montreal,Private Commercial,French,220604623
2019,1,Toronto,CBC/SRC,French,1774062
2019,1,Toronto,CBC/SRC,English,89884976
2019,1,Toronto,Non-Commercial,French,
2019,1,Toronto,Non-Commercial,English,12894974
2019,1,Toronto,Private Commercial,French,137217
2019,1,Toronto,Private Commercial,English,512547734
2019,1,Vancouver,CBC/SRC,French,1315444
2019,1,Vancouver,CBC/SRC,English,43681918
2019,1,Vancouver,Non-Commercial,English,
2019,1,Vancouver,Non-Commercial,French,
2019,1,Vancouver,Private Commercial,French,2295
2019,1,Vancouver,Private Commercial,English,180289030
2019,2,Calgary,CBC/SRC,French,404418
2019,2,Calgary,CBC/SRC,English,14225849
2019,2,Calgary,Non-Commercial,French,
2019,2,Calgary,Non-Commercial,English,54724
2019,2,Calgary,Private Commercial,French,53
2019,2,Calgary,Private Commercial,English,108030008
2019,2,Edmonton,CBC/SRC,French,2159084
2019,2,Edmonton,CBC/SRC,English,12723432
2019,2,Edmonton,Non-Commercial,French,
2019,2,Edmonton,Non-Commercial,English,85
2019,2,Edmonton,Private Commercial,French,1377
2019,2,Edmonton,Private Commercial,English,117184326
2019,2,Montreal,CBC/SRC,English,16655266
2019,2,Montreal,CBC/SRC,French,52287232
2019,2,Montreal,Non-Commercial,French,
2019,2,Montreal,Non-Commercial,English,222
2019,2,Montreal,Private Commercial,English,127480702
2019,2,Montreal,Private Commercial,French,218411053
2019,2,Toronto,CBC/SRC,French,3008631
2019,2,Toronto,CBC/SRC,English,89820752
2019,2,Toronto,Non-Commercial,French,
2019,2,Toronto,Non-Commercial,English,10867268
2019,2,Toronto,Private Commercial,French,134812
2019,2,Toronto,Private Commercial,English,479395001
2019,2,Vancouver,CBC/SRC,French,1135782
2019,2,Vancouver,CBC/SRC,English,38204541
2019,2,Vancouver,Non-Commercial,French,
2019,2,Vancouver,Non-Commercial,English,199
2019,2,Vancouver,Private Commercial,French,437
2019,2,Vancouver,Private Commercial,English,178677678
2019,3,Calgary,CBC/SRC,French,554776
2019,3,Calgary,CBC/SRC,English,16136746
2019,3,Calgary,Non-Commercial,French,
2019,3,Calgary,Non-Commercial,English,52451
2019,3,Calgary,Private Commercial,French,142
2019,3,Calgary,Private Commercial,English,112742790
2019,3,Edmonton,CBC/SRC,French,1257121
2019,3,Edmonton,CBC/SRC,English,12609719
2019,3,Edmonton,Non-Commercial,English,
2019,3,Edmonton,Non-Commercial,French,
2019,3,Edmonton,Private Commercial,French,169
2019,3,Edmonton,Private Commercial,English,125636189
