Broadcast_Year,Broadcast_Quarter,Market,Service_Type,Broadcast_Language,Total_Quarterly_Hours
2019,1,Atlantic,Conventional ,English,245393439
2019,1,Atlantic,Conventional ,French,1966215
2019,1,Atlantic,Discretionary & On-Demand,English,515571906
2019,1,Atlantic,Discretionary & On-Demand,French,2978336
2019,1,Atlantic,Non-Canadian & Other,English,139678865
2019,1,Central,Conventional ,English,230846091
2019,1,Central,Conventional ,French,280938
2019,1,Central,Discretionary & On-Demand,French,110468
2019,1,Central,Discretionary & On-Demand,English,488976358
2019,1,Central,Non-Canadian & Other,English,77653855
2019,1,Ontario,Conventional ,English,1270233389
2019,1,Ontario,Conventional ,French,13903185
2019,1,Ontario,Discretionary & On-Demand,French,8521959
2019,1,Ontario,Discretionary & On-Demand,English,2337540864
2019,1,Ontario,Non-Canadian & Other,English,596530633
2019,1,Quebec,Conventional ,English,138958071
2019,1,Quebec,Conventional ,French,1212256790
2019,1,Quebec,Discretionary & On-Demand,English,229937340
2019,1,Quebec,Discretionary & On-Demand,French,1240921602
2019,1,Quebec,Non-Canadian & Other,English,96080819
2019,1,West,Conventional ,French,913676
2019,1,West,Conventional ,English,817064798
2019,1,West,Discretionary & On-Demand,French,9223612
2019,1,West,Discretionary & On-Demand,English,1392366488
2019,1,West,Non-Canadian & Other,English,354463776
2019,2,Atlantic,Conventional ,French,3005008
2019,2,Atlantic,Conventional ,English,267146546
2019,2,Atlantic,Discretionary & On-Demand,French,2656032
2019,2,Atlantic,Discretionary & On-Demand,English,535736091
2019,2,Atlantic,Non-Canadian & Other,English,112458168
2019,2,Central,Conventional ,French,246430
2019,2,Central,Conventional ,English,255113031
2019,2,Central,Discretionary & On-Demand,French,72968
2019,2,Central,Discretionary & On-Demand,English,546856109
2019,2,Central,Non-Canadian & Other,English,78098159
2019,2,Ontario,Conventional ,French,14624096
2019,2,Ontario,Conventional ,English,1269218629
2019,2,Ontario,Discretionary & On-Demand,French,10767193
2019,2,Ontario,Discretionary & On-Demand,English,2428142349
2019,2,Ontario,Non-Canadian & Other,English,546496790
2019,2,Quebec,Conventional ,French,1304884715
2019,2,Quebec,Conventional ,English,147664837
2019,2,Quebec,Discretionary & On-Demand,English,230890149
2019,2,Quebec,Discretionary & On-Demand,French,1290365366
2019,2,Quebec,Non-Canadian & Other,English,84857891
2019,2,West,Conventional ,English,801539911
2019,2,West,Conventional ,French,1270909
2019,2,West,Discretionary & On-Demand,French,2433514
2019,2,West,Discretionary & On-Demand,English,1373524075
2019,2,West,Non-Canadian & Other,English,326442764
2019,3,Atlantic,Conventional ,English,278226752
2019,3,Atlantic,Conventional ,French,2256314
2019,3,Atlantic,Discretionary & On-Demand,English,495885871
2019,3,Atlantic,Discretionary & On-Demand,French,1631276
2019,3,Atlantic,Non-Canadian & Other,English,114447948
2019,3,Central,Conventional ,English,234657731
2019,3,Central,Conventional ,French,310839
2019,3,Central,Discretionary & On-Demand,French,35961
2019,3,Central,Discretionary & On-Demand,English,519205645
2019,3,Central,Non-Canadian & Other,English,97510028
2019,3,Ontario,Conventional ,English,1258018141
2019,3,Ontario,Conventional ,French,19823478
2019,3,Ontario,Discretionary & On-Demand,French,7818491
2019,3,Ontario,Discretionary & On-Demand,English,2489801587
2019,3,Ontario,Non-Canadian & Other,English,535718754
2019,3,Quebec,Conventional ,English,140592470
2019,3,Quebec,Conventional ,French,1188097460
2019,3,Quebec,Discretionary & On-Demand,English,255465264
2019,3,Quebec,Discretionary & On-Demand,French,1252271747
2019,3,Quebec,Non-Canadian & Other,English,93055871
2019,3,West,Conventional ,English,760786821
2019,3,West,Conventional ,French,1643063
2019,3,West,Discretionary & On-Demand,French,1878438
2019,3,West,Discretionary & On-Demand,English,1298208843
2019,3,West,Non-Canadian & Other,English,311009584
2019,4,Atlantic,Conventional ,English,195302232
2019,4,Atlantic,Conventional ,French,1726167
2019,4,Atlantic,Discretionary & On-Demand,English,435279541
