,Broadcast_Year,Broadcast_Quarter,Market,Universe
0,2019,1,Calgary,1319950
1,2019,1,Edmonton,1248934
2,2019,1,Montreal,3745917
3,2019,1,Toronto,5640975
4,2019,1,Vancouver,2347954
5,2019,2,Calgary,1319968
6,2019,2,Edmonton,1248990
7,2019,2,Montreal,3745872
8,2019,2,Toronto,5640997
9,2019,2,Vancouver,2347905
10,2019,3,Calgary,1319970
11,2019,3,Edmonton,1248969
12,2019,3,Montreal,3745910
13,2019,3,Toronto,5640985
14,2019,3,Vancouver,2347872
15,2019,4,Calgary,1321618
16,2019,4,Edmonton,1249926
17,2019,4,Montreal,3750099
18,2019,4,Toronto,5648980
19,2019,4,Vancouver,2349305
20,2020,1,Calgary,1344938
21,2020,1,Edmonton,1263961
22,2020,1,Montreal,3811785
23,2020,1,Toronto,5764970
24,2020,1,Vancouver,2369041
25,2020,2,Calgary,1344915
26,2020,2,Edmonton,1263948
27,2020,2,Montreal,3811869
28,2020,2,Toronto,5764913
29,2020,2,Vancouver,2369046
30,2020,3,Calgary,1344856
31,2020,3,Edmonton,1263885
32,2020,3,Montreal,3811804
33,2020,3,Toronto,5764909
34,2020,3,Vancouver,2369103
35,2020,4,Calgary,1345026
36,2020,4,Edmonton,1264166
37,2020,4,Montreal,3812086
38,2020,4,Toronto,5766009
39,2020,4,Vancouver,2370146
40,2021,1,Calgary,1361810
41,2021,1,Edmonton,1298812
42,2021,1,Montreal,3841845
43,2021,1,Toronto,5859982
44,2021,1,Vancouver,2467854
45,2021,2,Calgary,1361744
46,2021,2,Edmonton,1298722
47,2021,2,Montreal,3841888
48,2021,2,Toronto,5859928
49,2021,2,Vancouver,2467794
50,2021,3,Calgary,1361787
51,2021,3,Edmonton,1298832
52,2021,3,Montreal,3841909
53,2021,3,Toronto,5859879
54,2021,3,Vancouver,2467773
55,2021,4,Calgary,1361534
56,2021,4,Edmonton,1298718
57,2021,4,Montreal,3841842
58,2021,4,Toronto,5859811
59,2021,4,Vancouver,2467789
60,2022,1,Calgary,1352825
61,2022,1,Edmonton,1291850
62,2022,1,Montreal,3841911
63,2022,1,Toronto,5855921
64,2022,1,Vancouver,2460809
65,2022,2,Calgary,1352807
66,2022,2,Edmonton,1291955
67,2022,2,Montreal,3841823
68,2022,2,Toronto,5855930
69,2022,2,Vancouver,2460671
70,2022,3,Calgary,1352788
71,2022,3,Edmonton,1291912
72,2022,3,Montreal,3841889
73,2022,3,Toronto,5855912
74,2022,3,Vancouver,2460699
75,2022,4,Calgary,1353898
76,2022,4,Edmonton,1292659
77,2022,4,Montreal,3842924
78,2022,4,Toronto,5858588
79,2022,4,Vancouver,2461783
80,2023,1,Calgary,1388821
81,2023,1,Edmonton,1316833
82,2023,1,Montreal,3876948
83,2023,1,Toronto,5939878
84,2023,1,Vancouver,2494874
85,2023,2,Calgary,1388837
86,2023,2,Edmonton,1316853
87,2023,2,Montreal,3876931
88,2023,2,Toronto,5939927
89,2023,2,Vancouver,2494842
90,2023,3,Calgary,1388851
91,2023,3,Edmonton,1316905
92,2023,3,Montreal,3876899
93,2023,3,Toronto,5939882
94,2023,3,Vancouver,2494818
95,2023,4,Calgary,1390481
96,2023,4,Edmonton,1317941
97,2023,4,Montreal,3879964
98,2023,4,Toronto,5946072
99,2023,4,Vancouver,2498233
100,2024,1,Calgary,1426878
101,2024,1,Edmonton,1340863
102,2024,1,Montreal,3947863
103,2024,1,Toronto,6083934
104,2024,1,Vancouver,2573923
105,2024,2,Calgary,1426862
106,2024,2,Edmonton,1340849
107,2024,2,Montreal,3947860
108,2024,2,Toronto,6083945
109,2024,2,Vancouver,2573880
110,2024,3,Calgary,1426853
111,2024,3,Edmonton,1340823
112,2024,3,Montreal,3947870
113,2024,3,Toronto,6083841
114,2024,3,Vancouver,2573876
115,2024,4,Calgary,1429473
116,2024,4,Edmonton,1344191
117,2024,4,Montreal,3949344
118,2024,4,Toronto,6097366
119,2024,4,Vancouver,2585763
120,2025,1,Calgary,1466871
121,2025,1,Edmonton,1392815
122,2025,1,Montreal,3969933
123,2025,1,Toronto,6292897
124,2025,1,Vancouver,2757838
125,2025,2,Calgary,1466893
126,2025,2,Edmonton,1392861
127,2025,2,Montreal,3969956
128,2025,2,Toronto,6292904
129,2025,2,Vancouver,2757816
130,2025,3,Calgary,1466912
131,2025,3,Edmonton,1392887
132,2025,3,Montreal,3969947
133,2025,3,Toronto,6292942
134,2025,3,Vancouver,2757883
